洞中肯綮 dòng zhōng kěn qìng
强颜欢笑 qiǎng yán huān xiào
干城之将 gān chéng zhī jiàng
心长绠短 xīn cháng gěng duǎn
跌跌跄跄 diē diē qiàng qiàng
下风方向 xià fēng fāng xiàng
草率收兵 cǎo shuài shōu bīng
东窗消息 dōng chuāng xiāo xi
沉着应战 chén zhuó yìng zhàn
姓甚名谁 xìng shèn míng shuí
当轴处中 dāng zhóu chǔ zhōng
广为流传 guǎng wéi liú chuán
寸善片长 cùn shàn piàn cháng
行险侥幸 xíng xiǎn jiǎo xìng
长平之战 cháng píng zhī zhàn
率由旧章 shuài yóu jiù zhāng
对口相声 duì kǒu xiàng sheng
长山山脉 cháng shān shān mài
广种薄收 guǎng zhòng bó shōu
漂蓬断梗 piāo péng duàn gěng
多口相声 duō kǒu xiàng sheng
创巨痛深 chuāng jù tòng shēn
言归正传 yán guī zhèng zhuàn
滚滚长江 gǔn gǔn cháng jiāng
五行相生 wǔ háng xiāng shēng
对证命名 duì zhèng mìng míng
反正还淳 fǎn zhèng huán chún
亲水长廊 qīn shuǐ cháng láng
寸长片善 cùn cháng piàn shàn
发上冲冠 fà shàng chōng guān
少年老成 shào nián lǎo chéng
寸量铢称 cùn liáng zhū chēng
雀屏中选 què píng zhòng xuǎn
方领圆冠 fāng lǐng yuán guàn
汹涌澎湃 xiōng yǒng péng pài
封豕长蛇 fēng shǐ cháng shé
商业应用 shāng yè yìng yòng
商人银行 shāng rén yín háng
将相之器 jiàng xiàng zhī qì
睡眠失调 shuì mián shī tiáo
洞鉴废兴 dòng jiàn fèi xīng
粉妆玉琢 fěn zhuāng yù zhuó
嚼穿龈血 jiáo chuān yín xuè
天平地成 tiān píng dì chéng
残兵败将 cán bīng bài jiàng
斜行横阵 xié xíng héng zhèn
嚼腭搥床 jiáo è chuí chuáng
扬长避短 yáng cháng bì duǎn
长鸣都尉 cháng míng dōu wèi
斩将搴旗 zhǎn jiàng qiān qí
气贯长虹 qì guàn cháng hóng
恩甚怨生 ēn shèn yuàn shēng
剂量效应 jì liàng xiào yìng
睡回笼觉 shuì huí lóng jiào
语短情长 yǔ duǎn qíng cháng
援交小姐 yuán jiāo xiǎo jie
嚼齿穿龈 jiáo chǐ chuān yín
风尘肮脏 fēng chén āng zāng
有效成分 yǒu xiào chéng fèn
长蛇封豕 cháng shé fēng shǐ
丰草长林 fēng cǎo cháng lín
较短比长 jiào duǎn bǐ cháng
倦鸟知还 juàn niǎo zhī huán
兵微将寡 bīng wēi jiàng guǎ
长命百岁 cháng mìng bǎi suì
化整为零 huà zhěng wéi líng
满口应承 mǎn kǒu yìng chéng
法轮常转 fǎ lún cháng zhuàn
将遇良才 jiàng yù liáng cái
多言数穷 duō yán shuò qióng
语长心重 yǔ cháng xīn zhòng
发踊冲冠 fà yǒng chōng guān
博采众长 bó cǎi zhòng cháng
虚晃一枪 xiù huàng yī qiāng
拘神遣将 jū shén qiǎn jiàng
断管残沈 duàn guǎn cán shěn
长安少年 cháng ān shào nián
长安道上 cháng ān dào shàng
沅江九肋 yuán jiāng jiǔ lèi
蝉联冠军 chán lián guàn jūn
飞流短长 fēi liú duǎn cháng
蝉喘雷干 chán chuǎn léi gān
方寸万重 fāng cùn wàn chóng
断还归宗 duàn huán guī zōng
静电感应 jìng diàn gǎn yìng
鼋鸣鳖应 yuán míng biē yìng
剪切形变 jiǎn qiē xíng biàn
悬石程书 xuán dàn chéng shū
挑唇料嘴 tiǎo chún liào zuǐ
调舌弄唇 tiáo shé nòng chún
调唇弄舌 tiáo chún nòng shé
阶跃响应 jiē yuè xiǎng yìng
神成为人 shén chéng wéi rén
测量元件 cè liáng yuán jiàn
调良稳泛 tiáo liáng wěn fàn
草率从事 cǎo shuài cóng shì
福寿绵长 fú shòu mián cháng
进退消长 jìn tuì xiāo cháng
进贤兴功 jìn xián xīng gōng
调风弄月 tiáo fēng nòng yuè
惊起梁尘 jīng qǐ liáng chén
长材小试 cháng cái xiǎo shì
遇难成祥 yù nàn chéng xiáng
水浒全传 shuǐ hǔ quán zhuàn
反戈相向 fǎn gē xiāng xiàng
保长对应 bǎo cháng duì yìng
岳镇渊渟 yuè zhèn yuān tīng
拣佛烧香 jiǎn fó shāo xiāng
遁世长往 dùn shì cháng wǎng
氧炔吹管 yǎng quē chuī guǎn
铜盘重肉 tóng pán zhòng ròu
对称中心 duì chèn zhōng xīn
不明真相 bù míng zhēn xiàng
长林丰草 cháng lín fēng cǎo
斗升之水 dǒu shēng zhī shuǐ
确定效应 què dìng xiào yìng
空中少爷 kōng zhōng shào ye
清风劲节 qīng fēng jìng jié
清史列传 qīng shǐ liè zhuàn
永贞内禅 yǒng zhēn nèi shàn
借面吊丧 jiè miàn diào sāng
繁荣兴旺 fán róng xīng wàng
破镜重圆 pò jìng chóng yuán
前缘未了 qián yuán wèi liǎo
旧梦重温 jiù mèng chóng wēn
赌长较短 dǔ cháng jiào duǎn
江郎才尽 jiāng láng cái jìn
长才广度 cháng cái guǎng dù
从容应对 cóng róng yìng duì
将功折过 jiāng gōng shé guò
