䄻 táo (cháo)|(tiāo)
䄾 rù (rǒng)
䅃 qióng (jiòng)
䅅 guī (wā)
䅖 ān (ǎn)|(yān)|(yǎn)|(yè)
䅜 duò (chuí)|(tuǒ)
䅥 jié (gé)
䅧 yān (yìn)
䅩 zhǐ (qí)
䅳 chú (zōu)
䅷 tú (chú)
䅸 shēn (zú)
䅺 biāo (miǎo)
䅼 mán (màn)
䅽 xīn (gǔ)
䅾 cén (qián)
䆊 cuì (mèi)
䆏 fèi (fèn)
䆓 è (ruǎn)
䆘 yā (zā)
䆚 tóng (dòng)
䆝 xuè (zhú)
䆟 kè (āo)
䆹 chōng (tǒng)
䆾 lán (làn)
䇍 chù (qì)
䇑 bà (pī)
䇔 luò (nuò)
䇜 qiǎn (qiàn)
䇞 gān (gǎn)
䇢 kǔ (gù)
䇦 ǎng (yīng)
䇧 zhì (jī)
䇨 gòng (xiáng)
䇩 yì (yè)
䇬 zhū (shū)|(chuǎng)
䇲 cè (jiā)
䇶 jué (wò)
䇸 chéng (tīng)
䈈 féi (bā)
䈉 shà (qiè)
䈏 báo (fú)
䈒 nǎn (lǎn)
䈓 gé (qià)
䈕 shí (tí)|(jī)|(yí)
䈟 cè (zhá)
䈠 huǎn (yuàn)
䈡 cōng (sōng)
䈢 sǎi (xǐ)
䈭 sōu (huái)
䈲 bān (pán)
䈼 miè (mì)
䈾 shāo (shuò)
䉉 gū (hú)
䉛 yù (ǎo)
䉧 liú (liǔ)
䉰 xiào (jiǎo)
䉳 xiān (xiǎn)
䉵 zhuàn (zuǎn)
䊂 cè (sè)
䊆 jiù (qiǔ)
䊎 quǎn (qún)
䊞 zhé (chè)
䊤 tán (dàn)
䊭 dào (chóu)
䊲 chàn (chǎn)
䊳 mí (mó)
䊽 guài (jué)
䋈 rú (nǎ)
䋏 zuó (zhà)
䋣 fán (pó)
䋵 yì (yè)
䋶 xǔ (xié)
䋼 tīng (yíng)
䋾 zhǎ (nà)
䌃 xiāo (shuò)
䌘 biè (bì)
䌝 jīn (jìn)
䌟 bó (bì)
䌤 shī (zhǐ)
䌨 cā (cài)
䌯 quān (quán)|(guàn)
䌷 chōu (chóu)
䍎 cùn (xiǎn)
䍕 dī (dǐ)
䍙 méi (mǒu)
䍨 pō (fèi)
䍳 què (jué)|(chuò)
䍼 zān (cán)
䎄 xiāo (tiáo)
䎊 luò (pò)
䎠 ér (nuò)
䎧 bàng (póu)
䎨 yè (àn)
䎯 hàn (hǎn)
䎱 bà (bēi)
䎴 gēng (shèng)
䏃 mián (míng)
䏄 dǐ (zhì)
䏈 lián (luán)
䏌 qì (yì)
䏍 yuàn (yuān)
䏒 piàn (pàn)
䏔 niǔ (zhǒu)|(ròu)|(nǜ)
䏖 zhèn (yǐn)
䏙 tǎn (dàn)|(zhuàn)
䏚 chǎo (miǎo)
䏟 bié (bì)
䏠 qì (lā)
䏦 guā (tián)
䏧 nà (ná)|(chǐ)
䏨 huǐ (duī)
䏲 dié (tī)
䏵 měng (mǎng)|(máng)
䏹 xiàn (chēn)
䏼 cán (zhàn)
䏽 bù (péi)
䐁 zhuó (dū)
䐃 jùn (zhūn)
䐄 xiàn (hàn)
䐇 wěn (chún)
䐉 zì (nǎo)
䐊 kūn (hún)|(hùn)
䐏 chǔn (shǔn)
䐔 bǐn (biàn)
䐗 zhū (dǔ)
䐟 xiǎng (gōu)
䐢 zhù (zhòu)|(chù)
䐤 chāi (cuó)
䐧 kào (hè)
䐨 gǔ (què)
䐩 gāi (guī)|(kǎi)
䐭 zhì (dì)
䐯 léi (lěi)
䐵 gōng (huáng)
䐶 zān (jǐn)|(qián)
䐸 huò (guó)
䐹 sōu (sào)|(xiào)
䐺 tàn (tán)
䐿 ào (ǎo)
䑀 pì (pǐ)
䑄 pì (yì)
䑊 wéi (wèi)
䑌 lán (làn)
䑍 yān (yàn)|(yǐng)
䑏 quán (huān)
䑙 tān (rán)|(tiàn)
䑜 tà (tiè)
䑥 è (sà)
䑬 tāo (yào)|(tiāo)
䑹 sōu (sāo)
䒐 méng (mèng)
䒞 chén (yín)
䒠 fēng (xiá)
䒧 qū (qù)
䒨 shǐ (sì)
䓇 xì (hè)|(kè)
䓉 yé (yē)
䓊 wú (yú)
䓘 gāo (jiù)
䓙 kuā (guāi)
䓚 qū (cú)
䓟 zhōu (liè)
䓱 chái (zuī)
䓳 hěn (xié)
䓼 máng (hè)
䔂 zǐ (zǎi)
䔄 yáo (yào)
䔇 qǐ (ái)
䔉 lì (suàn)
䔑 xié (yé)|(tú)
䔠 shǎo (shāo)|(shuò)
䔲 dēng (chéng)
䔴 cè (cuì)|(chuà)
䔶 tí (tái)
